Day,Date,New Visitor,Returning Visitor
Saturday,1/5/2019,3059,2757
Sunday,1/6/2019,2915,3084
Monday,1/7/2019,3740,5155
Tuesday,1/8/2019,4126,5391
Wednesday,1/9/2019,4101,5219
Thursday,1/10/2019,4332,5289
Friday,1/11/2019,3759,4771
Saturday,1/12/2019,3205,3293
Sunday,1/13/2019,3135,4074
Monday,1/14/2019,4632,7026
Tuesday,1/15/2019,4491,7334
Wednesday,1/16/2019,4247,7179
Thursday,1/17/2019,4332,6283
Friday,1/18/2019,3726,5365
Saturday,1/19/2019,2706,2822
Sunday,1/20/2019,2559,3249
Monday,1/21/2019,3242,4501
Tuesday,1/22/2019,3970,6589
Wednesday,1/23/2019,4130,6341
Thursday,1/24/2019,4600,6422
Friday,1/25/2019,3708,5252
Saturday,1/26/2019,2877,3234
Sunday,1/27/2019,2918,4125
Monday,1/28/2019,3775,6519
Tuesday,1/29/2019,4060,6568
Wednesday,1/30/2019,4128,6451
Thursday,1/31/2019,4356,6931
Friday,2/1/2019,3422,5939
Saturday,2/2/2019,3234,3291
Sunday,2/3/2019,2662,3484
Monday,2/4/2019,4453,6482
Tuesday,2/5/2019,4298,6431
Wednesday,2/6/2019,4096,5948
Thursday,2/7/2019,4040,5560
Friday,2/8/2019,3380,4613
Saturday,2/9/2019,3580,3459
Sunday,2/10/2019,3617,5065
Monday,2/11/2019,5934,13305
Tuesday,2/12/2019,5237,11293
Wednesday,2/13/2019,4625,8122
Thursday,2/14/2019,4631,6207
Friday,2/15/2019,3932,5500
Saturday,2/16/2019,4883,3080
Sunday,2/17/2019,3219,3330
Monday,2/18/2019,3805,4322
Tuesday,2/19/2019,4753,6620
Wednesday,2/20/2019,4820,6149
Thursday,2/21/2019,5382,6621
Friday,2/22/2019,4331,5551
Saturday,2/23/2019,5513,3619
Sunday,2/24/2019,3510,4131
Monday,2/25/2019,4567,6529
Tuesday,2/26/2019,4408,6275
Wednesday,2/27/2019,3809,5758
Thursday,2/28/2019,4113,5874
